Date,Open,High,Low,Close,Adj Close,Volume
2020-03-05,16541.599609,16684.900391,16456.699219,16554.000000,16554.000000,313012300
2020-03-06,16222.099609,16261.500000,16015.799805,16175.000000,16175.000000,374703800
2020-03-09,15221.799805,15240.299805,14498.299805,14514.200195,14514.200195,559227400
2020-03-10,15019.000000,15048.799805,14481.900391,14958.099609,14958.099609,571001300
2020-03-11,14639.700195,14714.200195,14185.200195,14270.099609,14270.099609,468990900
2020-03-12,13611.799805,13611.799805,12451.099609,12508.500000,12508.500000,678332900
2020-03-13,13161.599609,13716.299805,12608.299805,13716.299805,13716.299805,669328700
2020-03-16,12648.700195,12851.700195,11883.700195,12360.400391,12360.400391,525668300
2020-03-17,12525.299805,13114.500000,12322.700195,12685.200195,12685.200195,618745200
2020-03-18,12197.700195,12500.000000,11384.099609,11721.400391,11721.400391,589437000
2020-03-19,11657.299805,12294.400391,11361.299805,12170.500000,12170.500000,531586300
2020-03-20,12335.700195,12670.799805,11809.400391,11851.799805,11851.799805,727890300
2020-03-23,11802.799805,11870.599609,11172.700195,11228.500000,11228.500000,473241500
2020-03-24,11909.700195,12588.299805,11823.900391,12571.099609,12571.099609,489332500
2020-03-25,12588.099609,13690.400391,12496.299805,13139.200195,13139.200195,553126800
2020-03-26,13154.099609,13592.299805,13138.299805,13371.200195,13371.200195,471047400
2020-03-27,12942.900391,12963.599609,12630.299805,12687.700195,12687.700195,453378000
2020-03-30,12780.900391,13048.400391,12549.000000,13038.500000,13038.500000,388246500
2020-03-31,13083.900391,13557.599609,13083.900391,13378.799805,13378.799805,498993900
2020-04-01,12966.799805,13138.099609,12814.000000,12876.400391,12876.400391,373013200
2020-04-02,12946.599609,13248.599609,12921.000000,13097.799805,13097.799805,446041600
2020-04-03,13108.299805,13171.200195,12829.400391,12938.299805,12938.299805,354988900
2020-04-06,13362.400391,13603.000000,13300.099609,13592.700195,13592.700195,386784300
2020-04-07,13937.900391,14062.700195,13571.500000,13614.099609,13614.099609,400917900
2020-04-08,13726.000000,13964.900391,13588.400391,13925.700195,13925.700195,374163600
2020-04-09,14082.000000,14329.200195,14010.700195,14166.599609,14166.599609,437301200
2020-04-13,14195.099609,14197.599609,13889.299805,14075.900391,14075.900391,326410100
2020-04-14,14239.099609,14440.900391,14110.700195,14258.400391,14258.400391,335902300
2020-04-15,14010.900391,14071.000000,13900.700195,13958.599609,13958.599609,315611500
2020-04-16,14024.799805,14056.900391,13874.700195,13899.299805,13899.299805,288395700
2020-04-17,14079.299805,14365.799805,14079.299805,14359.900391,14359.900391,374045500
2020-04-20,14132.799805,14509.799805,14075.799805,14388.299805,14388.299805,334709500
2020-04-21,14106.500000,14307.700195,13940.099609,13940.099609,13940.099609,307129600
2020-04-22,14212.900391,14305.000000,14113.000000,14288.200195,14288.200195,267174100
2020-04-23,14329.400391,14422.400391,14238.700195,14251.099609,14251.099609,311058300
2020-04-24,14337.599609,14433.700195,14242.799805,14420.400391,14420.400391,323785200
2020-04-27,14492.000000,14649.599609,14404.599609,14642.099609,14642.099609,284519400
2020-04-28,14767.599609,14856.000000,14658.700195,14798.299805,14798.299805,297711300
2020-04-29,15003.000000,15257.900391,15002.099609,15228.099609,15228.099609,371318900
2020-04-30,15114.799805,15114.799805,14767.099609,14780.700195,14780.700195,403599800
2020-05-01,14563.000000,14661.200195,14520.200195,14620.299805,14620.299805,287321200
2020-05-04,14554.200195,14745.000000,14518.099609,14745.000000,14745.000000,295093500
2020-05-05,14899.400391,14943.700195,14764.099609,14811.599609,14811.599609,297575700
2020-05-06,14855.400391,14909.599609,14744.299805,14830.700195,14830.700195,302690800
2020-05-07,14963.200195,15016.000000,14815.799805,14833.700195,14833.700195,314631200
2020-05-08,14958.200195,14985.599609,14898.500000,14966.599609,14966.599609,312192200
2020-05-11,14901.900391,15118.799805,14852.799805,15103.200195,15103.200195,249605200
2020-05-12,15161.500000,15184.900391,14881.200195,14881.200195,14881.200195,306665300
2020-05-13,14898.099609,14898.099609,14419.900391,14503.200195,14503.200195,311644000
2020-05-14,14346.200195,14553.099609,14187.500000,14509.700195,14509.700195,307622100
2020-05-15,14504.299805,14657.599609,14447.900391,14638.900391,14638.900391,286946500
2020-05-19,14911.400391,14951.200195,14823.000000,14885.500000,14885.500000,378893100
2020-05-20,15048.200195,15054.799805,14972.200195,14997.599609,14997.599609,300482200
